title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
Private Practice,2007,TV-14,51,['US'],6.0,6.7,25790.0,27.618,"['comedy', 'drama']",7.314999999999999
Jersey Shore,2009,TV-14,42,['US'],6.0,3.8,23489.0,15.228,"['reality', 'romance']",4.29
America's Got Talent,2006,TV-PG,79,['US'],16.0,5.7,9755.0,47.255,"['music', 'reality']",5.87
Afro Samurai,2007,TV-MA,25,['US'],1.0,7.6,16393.0,17.797,"['action', 'drama']",7.539999999999999
Curious George,2006,TV-Y,20,['US'],15.0,7.2,2357.0,27.457,"['comedy', 'family']",7.25
Saving Grace,2007,TV-MA,46,['US'],3.0,7.6,5019.0,5.563,"['fantasy', 'scifi']",7.989999999999999
Childrens Hospital,2008,TV-MA,12,['US'],7.0,7.8,7714.0,11.203,['comedy'],7.685
Swamp People,2010,TV-14,44,['US'],13.0,6.2,2372.0,20.919,"['action', 'reality']",7.425000000000001
Bleak House,2005,TV-PG,31,['GB'],1.0,8.3,9661.0,4.484,"['crime', 'drama']",8.295
Hellsing Ultimate,2006,TV-MA,50,['JP'],1.0,8.3,22016.0,33.139,"['scifi', 'thriller']",8.52
The Real Housewives of Atlanta,2008,TV-14,44,['US'],14.0,4.3,3689.0,38.514,['reality'],5.44
Ben 10,2005,TV-Y7,22,['US'],4.0,7.4,18578.0,134.112,"['action', 'animation']",7.845
Army Wives,2007,TV-PG,43,['US'],7.0,7.3,7710.0,18.937,"['drama', 'romance']",7.66
Coronation Street,2010,TV-PG,25,['GB'],63.0,5.6,5412.0,84.647,"['drama', 'romance']",5.685
Ergo Proxy,2006,TV-MA,27,['JP'],1.0,7.9,13942.0,12.495,"['scifi', 'thriller']",7.869999999999999
The Glades,2010,TV-14,43,['US'],4.0,7.4,13321.0,26.244,"['action', 'crime']",7.395
Extreme Makeover: Home Edition,2003,TV-PG,43,['US'],10.0,6.3,4692.0,9.599,"['family', 'reality']",6.8
Foster's Home for Imaginary Friends,2004,TV-Y7,24,['US'],6.0,7.6,21880.0,32.983,"['comedy', 'scifi']",7.855
Spice and Wolf,2008,TV-14,25,['JP'],2.0,7.9,4312.0,16.075,"['romance', 'scifi']",7.96
Greek,2007,TV-14,45,['US'],4.0,7.6,24326.0,13.587,"['comedy', 'drama']",7.359999999999999
K-ON!,2009,TV-14,24,['JP'],2.0,7.8,3675.0,32.259,"['animation', 'comedy']",7.865
To Love-Ru,2008,TV-MA,24,['JP'],4.0,6.4,1259.0,52.655,"['animation', 'scifi']",7.615
Kyle XY,2006,TV-14,44,['US'],3.0,7.5,29244.0,17.672,"['romance', 'scifi']",7.445
Jimmy Kimmel Live!,2003,TV-14,45,['US'],20.0,6.5,16162.0,84.315,"['comedy', 'music']",6.315
Higurashi: When They Cry,2006,TV-MA,14,['JP'],3.0,5.3,26.0,16.255,"['drama', 'scifi']",6.66
Fear Factor,2001,TV-PG,47,['US'],7.0,5.6,6708.0,12.332,"['reality', 'thriller']",6.0
The Bachelorette,2003,TV-14,78,['US'],18.0,3.3,5450.0,7.45,"['reality', 'romance']",4.084999999999999
The Only Way Is Essex,2010,TV-MA,37,['GB'],28.0,2.2,12.0,14.278,"['action', 'reality']",3.715
Claymore,2007,TV-MA,22,['JP'],1.0,8.0,13365.0,16.03,"['action', 'scifi']",8.235
The Real Housewives of New York City,2008,TV-14,44,['US'],13.0,4.5,3566.0,23.506,['reality'],5.45
Mobile Suit Gundam 00,2007,TV-MA,24,['JP'],2.0,8.1,2360.0,23.142,"['action', 'drama']",7.925
