title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Yakuza Princess,MOVIE,2021,R,112,thriller,"['BR', 'US']",,1377,41.978,5.550000000000001
Memories of a Murderer: The Nilsen Tapes,MOVIE,2021,R,84,documentation,['GB'],,3301,5.426,6.4399999999999995
Chhota Bheem & Krishna: Pataliputra- City of the Dead,MOVIE,2010,G,65,animation,['IN'],,,,
Chhota Bheem: Journey to Petra,MOVIE,2011,G,67,animation,['IN'],,,,
Stuck Together,MOVIE,2021,,126,comedy,"['BE', 'FR']",,6897,15.493,6.35
Mission: Impossible,MOVIE,1996,PG-13,110,thriller,['US'],,420673,41.115,7.155
"Bob Ross: Happy Accidents, Betrayal & Greed",MOVIE,2021,PG-13,92,documentation,"['NL', 'US']",,5856,6.605,7.01
A Second Chance: Rivals!,MOVIE,2019,PG,89,drama,['AU'],,394,7.151,6.085
The Lost Daughter,MOVIE,2021,R,122,drama,"['GB', 'GR', 'US']",,58882,36.068,6.82
Quam's Money,MOVIE,2020,,114,crime,['NG'],,,1.91,4.6
Hostage House,MOVIE,2021,,90,thriller,['US'],,860,4.731,5.51
7 Prisoners,MOVIE,2021,R,93,drama,['BR'],,6877,95.706,7.244999999999999
"Barbie: Big City, Big Dreams",MOVIE,2021,,62,animation,['US'],,305,105.001,6.5099
The Gray Man,MOVIE,2022,PG-13,128,thriller,"['CZ', 'US']",,46071,510.268,6.882949999999999
Rudra: Secret of the Black Moon,MOVIE,2020,,87,,[],,,0.6,
Binti,MOVIE,2021,,99,drama,"['GB', 'TZ']",,122,1.921,7.35
